1,Citation,Date of Judgments,Length of marriage till IJ (include separation period),Length of marriage (exclude separation period),Number of children,Wife's income (monthly),Husband's income (monthly),Single or dual income marriage,Direct contri (Wife),Indirect contri (Wife),Average ratio (Wife),Final ratio (post-adjustments),Adjustments?,Adjustments were for,Remarks,,,New columns,Cost of Court
BUX v BUY,[2019] SGHCF 4,21-Jan-19,7,Undisclosed,2,$9825.50,$3000-$5000,Dual,95,45,70,70,0,,Wife has appealed against this decision.,,,,
USG v USH,[2019] SGFC 9,24-Jan-19,40,Undisclosed,2 (both above majority),$1371,$1174,Dual,74.73,50,62,62,0,,Wife has appealed against this decision.,,,,
USN v USO,[2019] SGFC 14,25-Jan-19,3 years 4 months,3 years 4 months,0,$35464.33,Undisclosed,Single (husband worked for 9 months),40 (75% weightage),50 (25% weightage),42.5,42.5,0,,H and W have both appealed. ,,,,
USA v USB,[2019] SGHCF 5,29-Jan-19,5.5 (excluding 12 year period of cohabitation),Undisclosed,0 (excluding stepchildren),Undisclosed,$598 (2016); above $2000 (2015),Dual,95 (70% weightage),65 (30% weightage),89,89,0,"J found both parties had failed to provide full and frank disclosure to some extent, but declined to draw adverse inference against either party.",,,,,
USP v USQ ,[2019] SGFC 15,30-Jan-19,15,Undisclosed,1,$1327,$11670,Dual,11,60,35.5,40,Plus 4.5%,"Taking into account, inter alia, needs of child",,,,,
URY v URZ,[2019] SGFC 12,1-Feb-19,6 years 5 months,3 years 5 months,2,$85 (now); $7500 (last drawn),$3583,Dual,32,55,43.5,40,Minus 3.5,Non-disclosure of wife in respect of value of 4 assets,"J noted that W has ability to generate income far exceeding her expenditure of $3,496.57. She stopped full-time work in 2015 when she relocated to Indonesia with the children.",,,,
USV v USW,[2019] SGFC 21,14-Feb-19,5,5,0,$0,Undisclosed,Single,20.56,,23.56,23.56,Plus 3,W's indirect contributions were marginally higher than H's,short marriage with no children ,,,,
UTW v UTX,[2019] SGFC 30,28-Feb-19,25,Undisclosed,2 (both above majority),$0,Undisclosed,Single,0,,35,,,,"J did not explain how he reached 35% although he noted that (1) W had made negligible financial contributions and comparatively more indirect contributions than H, and (2) case law indicates 35-50% to housewives in long marriages with children",,,,
UUA v UUB,[2019] SGFC 31,28-Feb-19,4,6 mths,0,Undisclosed,Undisclosed,Dual,27.4 (75% weightage),70 (25% weightage),38,38,0,,short marriage with no children ,,,,
UTJ v UTK,[2019] SGHCF 6,7-Mar-19,41,Undisclosed (although parties lived separately for at least 22 years),1 (above majority),Undisclosed (retired in 2004),Undisclosed,Dual,6.16,60,33,38,Plus 5,adverse inferences drawn against both parties,"W submitted that higher weight should be given to indirect contributions because the marriage lasted 37 years until filing of writ, but J declined",,,,
UUV v UUU,[2019] SGFC 37,13-Mar-19,6,6,2,$4508,$2189,Dual,35,70,52.5,55,Plus 2.5,rounded up,,,,,
UUQ v UUR,[2019] SGFC 36,14-Mar-19,6,6,1,$2500,$5000,Dual,16,50,33,33,0,,,,,,
UUS v UUT,[2019] SGFC 35,15-Mar-19,16,16,0,$3000 (around 2012),Undisclosed,Dual,26,40,33.5,33.5,0,,Judge expressed some doubts over wife's claim to only earn $840. ,,,,
UUW v UUX and UUY,[2019] SGFC 40,20-Mar-19,4,4,1,Undisclosed,Undisclosed,Undisclosed,67,50,58.5,61.5,Plus 3,Since W has final care and control over the child,Short marriage and taking into consideration monies taken by W as well as financial loss suffered by both sides from the surrender of the flat,,,,
  UQP v UQQ,[2019] SGHCF 7,26-Mar-19,4 years 8 months,N.A.,1,$6838,$3000,Dual,100%,N.A.,N.A.,N.A.,N.A.,,"HC allowed the wife's appeal against DJ's order to pay husband 18% of the net asset value of the mat flat, the only matrimonial asset in question. Choo J took the view that ANJ v ANK ought not to be applied in the present case, and awarded 100% of the value of the Flat to the wife. Husband did not dispute that he made no financial contributions to the Flat.",,,,
UUO v UUP,[2019] SGFC 44,1-Apr-19,18,N.A.,2,$5000,$27000-$28000,Dual,34%,58%,46%,46%,0,,,,,,
UVV v UVW,[2019] SGFC 49,22-Apr-19,15,Undisclosed,0,Undisclosed,Undisclosed,Dual,74.6,60,67.3,67.3,0,,,,,,
UVD v UVE,[2019] SGFC 46,22-Apr-19,3 years 5 months,N.A.,1,Undisclosed,Undisclosed,Undisclosed,18 (60% weightage),50 (40% weightage),31,32,Plus 1,"DJ ordered the final adjustment of 68:32 in favour of the husband, after considering the assets held by parties in their own names","DJ noted that this was a very short marriage in which parties had not lived together for most of their marriage. As such, rather than just applying the 2 ratios, he was of the view that 60% of weightage be given to direct contributions, and 40% of weightage be given to indirect contributions. ",,,,
UTS v UTT,[2019] SGHCF 8,23-Apr-19,44,39,3 (all adult children),$0,Undisclosed,Single,N.A.,N.A.,50,50,N.A.,,"HC classified this as a quintessential long single income marriage and applied TNL v TNK. H & W were 80 yrs old, and 71 yrs old respectively. Total pool of assets amounted to over $7 million. ",,,,
UVZ v UWA,[2019] SGFC 51,29-Apr-19,15,6,2,Undisclosed,Undisclosed,Undisclosed,31,20,25.5,25,Minus 0.5 (rounding up),,,,,,
BOI v BOJ,[2019] 2 SLR 114; [2019] SGCA 30,2-May-19,23,Undisclosed,2 (1 adult),Undisclosed,Undisclosed,Undisclosed,38.2,60,49.1,52,Minus 2.9,Account for assets in parties' sole names,"The issue at appeal concerned lottery winnings which had been acquired in the course of the marriage and used to repay mortgage loans for the matrimonial home. 

In the lower court, parties each claimed sole credit for the winnings. The judge in the lower court found that the ticket was purchased by H, and attributed the contributions from the winnings to the home to H. 

On appeal, the CA found that a lottery winning obtained during the marriage was a ""matrimonial asset"", forming part of the matrimonial pool. It did not constitute a ""gift"" or ""inheritance"" as the lottery ticket had to be purchased. 

Rather than looking at the source of funds for the purchase of the ticket, one should consider the intention behind purchasing the ticket. There was a presumption that both spouses contributed equally to assets acquired from the winnings, unless the spouse purchasing the ticket could show that s/he purchased the ticket with a view to only benefitting themselves. 

That said, if there was evidence that parties had an arrangement where their monies were pooled together to purchase lottery tickets on a regular basis then there would be no need to rely on the presumption. ",,,,
UTF v UTG,[2019] SGFC 53,7-May-19,31,N.A.,2 (adult children),Undisclosed,Undisclosed,Single,38,70,55,55,N.A.,,"Although this was a long-single income marriage, parties submitted that ANJ should apply. The Ct agreed and applied ANJ on the basis that while the wife was a homemaker for most of the marriage, she had contributed not insignificantly to the matrimonial asset. ",,,,
UTL v UTM,[2019] SGHCF 10,7-May-19,23,N.A.,2,N.A. (stopped work in 2010),$29054,Dual,31.46,50,40.73,40.73,N.A.,,,,,,
BWU and anor v BWW and anor,[2019] SGHC 128,16-May-19,23,N.A.,0,$1400,$3400,Dual,26,35,30,30,N.A.,,,,,,
UTQ v UTR,[2019] SGHCF 13,31-May-19,31,N.A.,3 (adult children),$5697.20,$20180,Dual,30,70,50,50,N.A.,,HC examined a line of cases involving dual-income long marriage cases when assessing the indirect contributions. The Court took into consideration the face that W had single-handedly cared for the children while the H has pursued his master's degree abroad. ,,,,
UXP v UXQ,[2019] SGFC 67,4-Jun-19,9,N.A.,2,$2583,$12381,Dual,8.22 (50% weightage) ,70 (50% weightage),45,55,,,"Wife was a homemaker from 2008 to 2016, and started working from 2016 onwards. ",,,,
UXZ v UYA,[2019] SGFC 71,2-Jul-19,22,N.A.,2 (1 adult child),Undisclosed,Undisclosed,Dual,29,30,29.5,,,,Both H and W appeared to have irregular jobs. They also accused the other of leaving the matrimonial home and the children for a period of time during the marriage.,,,,
UGK v UGL ,[2019] SGFC 75,8-Jul-19,10,N.A.,1,Undisclosed,Undisclosed,Undisclosed,68,60,64,64,N.A.,,,,,,
UYN v UYO,[2019] SGFC 77,8-Jul-19,4,N.A.,1,Undisclosed,Undisclosed,Dual,12,55,33.5,33.5,N.A.,,,,,,
UYP v UYQ,[2019] SGHCF 16,15-Jul-19,35,Undisclosed,2 (adult children),Undisclosed,Undisclosed,Dual,65,70,67.5,60,Minus 7.5,"The Ct was of the opinion that it was just and equitable to adjust the average ratio, which is the furthest range of what was acceptable as a proportion that inclines towards equality. ","The High Court examined that historical formation of s112 of WC, and the principles that undergird the division of matrimonial assets. Debbie Ong J then restated her observation that long dual income marriages ought to tend towards equality of division, following a survey of the relevant cases ([48]-[54]), and emphasized that ANJ should not be applied rigidly. However, the ANJ approach can be of assistance in dual income long marriages in ascertaining a ratio that inclines towards equality, which takes into account the specific facts of the case. ",,,,
UWL v UWM,"[2019] SGHCF 17;
ratio amended in UWM v UWL
[2021] SGCA 105","30/7/2019
16/11/2021",15,10,0,$0,$23000,Dual,"46%;
on appeal 38.72%","50%;
on appeal 50%","48;
on appeal;, 44.36%","48;
on appeal;, 44.36%",N.A.,N.A.,"The High Court found that it was inconceivable that the wife did not have any income or earnings at present as she had left for China to carry out her business more than 5 years ago. However, it declined to draw an adverse inference against her as it was of the view that assets amassed during the time she was in China after March 2013 would not form part of the pool of matrimonial assets.",,,,
UTN v UTO and another,[2019] SGHCF 18,31-Jul-19,31,N.A. ,3 (adult children),$12809.67,Undisclosed,Dual,36.9,70,53.45,56,Plus 2.5,"Adverse inference against the husband for failing to make full and frank disclosure of his insurance policies, and payments which he had made to a property at Gilstead Road, that was owned by the 3P the H had an affair with. H claimed that he did not make any payments towards this property and that it was solely owned by the 3P. ",,,,,
UXN v UXO,[2019] SGFC 74,1-Aug-19,18,N.A. ,2,$10670,$10060,Dual,42,75,58.5,60,Plus 1.5,"Adjustment for the fact that H had sole occupation of the matrimonial home for about 2 years and was living rent free, while the W moved out w the children. ",,,,,
UYZ v UZA,[2019] SGHFC 84,2-Aug-19,20,Undisclosed,0,$0,$1000,Single,46.4,60,53.2,53.2,N.A.,,"The High Court found that expenditure H had spent on 3P ought to be returned to the pool of matrimonial assets, although it was not a deliberate attempt to dissipate the matrimonial assets.

In relation to the applicable principles towards the division of assets, the High Court distinguished the present case from TNL. This was not a typical single-income marriage as contemplated in TNL where the non-working spouse's contribution was close to 0%. As such, this was not a case where the non-working spouse would be severely disadvantaged. Also, this was a case where the husband also had not insignificant indirect contributions to the household. Accordingly, Tan JC applied the ANJ structured approach. ",,,,
UWQ v UWR,[2019] SGFC 82,4-Aug-19,9 years 6 months,N.A.,1,$4367,$6800,Dual,21 (50% weightage),55 (50% weightage),38,38,N.A.,,,,,,
UZF v UZG and UZH,[2019] SGFC 86,8-Aug-19,16,Undisclosed,3,Undisclosed in GD,Undisclosed in GD,Dual,40 (50% weightage),80 (50% weightage),60,60,N.A.,,"Parties agreed that the only matrimonial asset was the home, and agreed that the ratio of direct contributions was 40:60 in favour of H.",,,,
UYD v UYE and others,[2019] SGHCF 20,29-Aug-19,26,N.A.,3 (1 adult child),Undisclosed,Undisclosed,Single,N.A.,N.A.,N.A.,N.A.,N.A.,,"H was the EC and MD of X Pte Ltd. W was on record an employee of X Pte Ltd but had stopped working in 2002. The High Court found that this was a single-income marriage despite W working intermittently for 13 years during the 26-year marriage as what mattered was the qualitative assessment of the roles played by the spouses relative to each other (at [52]-[54]). 

Accordingly, Tan JC applied TNL that the division should tend towards equal division. The HC noted that W's homemaking contributions enabled G to focus on building X Pte Ltd and his other companies. However, he also considered the large asset pool and that X Pte Ltd was responsible for a big part of the enhancement of assets, which was achieved through H's efforts over the years. He also noted that W had provided funds to X Pte Ltd in the initial period. Accordingly, the HC arrived at a ratio of 55:45 in H's favour. ",,,,
VAI v VAJ,[2019] SGFC 26,30-Aug-19,14,N.A.,2,$21490,Undisclosed,Dual,"Group A: 88.6
Group B: 100","Group A: 65
Group B: 65","Group A: 76.8
Group B: 96.5","Group A: 77
Group B: 96.5",Rounded up,,"DJ obtained the ratios for two classifications of matrimonial property: Group B - property in Australia, Group A - other matrimonial assets. ",,,,
VAC v VAD,[2019] SGFC 95,2-Sep-19,5,N.A.,2,N.A. ,$2200,Undisclosed (W stopped working about 2 years into the marriage),25.9,60,43,53,Plus 10,Adjustments made in view of children's needs and adverse inference drawn against H,,,,,
VAG v VAH,[2019] SGFC 94,4-Sep-19,14,Undisclosed,2,$4166,$10833,Dual,44,60,52,52,N.A.,,,,,,
VAU v VAV,[2019] SGFC 102,12-Sep-19,7,N.A.,1,$5400,$9881,Dual,"Mat home: 22
Other mat assets: 69","Mat home: 45
Other mat assets: 45","Mat home: 33.5
Other mat assets: 57","Mat home: 30
Other mat assets: 57",Minus 3.5%,DJ was of the view that it was just and equitable to increase H's share of the home to 70% given that W had exclusive occupation of the matrimonial home for 13 months while collecting rental for another property.,,,,,
UVF v UVG,[2019] SGHCF 21,13-Sep-19,26,N.A.,0,N.A.,,Single,N.A.,N.A.,N.A.,N.A.,N.A.,,"W worked for 6 years after the marriage but parties accepted that H was the primary breadwinner for the majority of the marriage of 26 years and that the matrimonial pool was largely accrued through his efforts. HC thus classified this as a long single income marriage and surveyed the case law on long childless marriages ([53]-[56]). 

HC awards distribution in the proportions of 62.5:37.5",,,,
VAO v VAP,[2019] SGFC 98,17-Sep-19,15,N.A.,2,$2000 (court estimated her earning capacity to be $3000),$47263 (after adding bonuses and deducting taxes),Single,16.40%,???,???,38%,N.A.,,"Certain items (husband's watches, insurance policies, and some savings accounts) were excluded from division based on the parties' agreement",,,,
VAK v VAL,[2019] SGFC 108,7-Oct-19,21,N.A.,2,"N.A. (but court said that $2,000 was a modest income that wife could possibly earn)",$18000 (court's estimate of husband's income/income earning capacity),Single,79.90%,70.00%,74.95%,75.00%,Plus 0.05%,Rounded up,,,,,
VBV v VBW,[2019] SGFC 113,16-Oct-19,20,N.A.,2,$2000,"N.A. (last drawn salary was $5,000)",Dual,50.42%,55%,52.71%,52.30%,Minus 0.41%,"To take into account lump sum wife maintenance of $10,000",,,,,
UZK v UZL,[2019] SGHCF 23,12-Nov-19,18,N.A.,0,Ceased employment around 2017,Ceased employment around 2017,Dual,50% (immovable property) / 85% (assets held in parties' sole name),60% (immovable property) / 60% (assets held in parties' sole name),55% (immovable property) / 72.5% (assets held in parties' sole name),55% (immovable property) / 72.5% (assets held in parties' sole name),N.A.,,,,,,
VCP v VCQ,[2019] SGFC 126,14-Nov-19,38,N.A.,3,N.A. (but husband claimed that she was working because she received CPF contributions),Husband was working as a TV operator but his income was Undisclosed ,Single,16%,60%,38%,38%,N.A.,,Note that couple's son owned 45% of the matrimonial flat so the court only considered the couple's 55% share as part of the matrimonial pool,,,,
VBR v VBS,[2019] SGFC 123,15-Nov-19,11,N.A.,2,"N.A. (wife was running a yoga business but earned $3,700 per month before she stopped working at the end of 2015)",$5320,Dual,36%,60%,48%,46%,Minus 2%,Adverse inference drawn against the wife for not providing any information on her yoga business as well as her interests in certain properties in India,,,,,
VCV v VCW,[2019] SGFC 131,28-Nov-19,27,26,3,$1600,$1900,Dual,44%,67%,56%,N.A.,,,,,,,
VDF v VDG,[2019] SGFC 135,5-Dec-19,5,N.A.,2,Undisclosed,Undisclosed,Dual,57% (80% weightage),50% (20% weightage),56%,55%,Minus 0.6%,Rounded down,Ratio of direct contribution to indirection contribution was 80:20 given that the marriage was a relatively short one,,,,
VDH v VDI,[2019] SGFC 136,6-Dec-19,21,N.A.,2,$4510 (wife also receives rental income of $2000),$13461,Dual,32%,50%,41%,41%,Minus 0.05%,Rounded down,,,,,
VDP v VDQ,[2019] SGFC 140,10-Dec-19,12,N.A.,2,$26000,$13000,Dual,56%,50%,53%,53%,,,,,,,
VDJ v VDK,[2019] SGFC 141,12-Dec-19,20,N.A.,2,$1800 (wife's potential earning capacity was taken to be $3200),$23760,Single,Undisclosed,Undisclosed,Undisclosed,45%,,,,,,,
UZR v UZS,[2019] SGHCF 28,19-Dec-19,35,N.A.,4,Not working since 2014,"Undisclosed whether $16,000 or $21,000",Dual,29%,70%,50%,53%,Plus 3.5%,"Long marriage, wife prioritising the children over her career, and adverse inference drawn against the husband for his failure to make full disclosure of his income and assets ",,,,,
UZO v UZP,[2019] SGHCF 27,19-Dec-19,18,N.A.,3,Undisclosed whether $1700 or $1360,"Undisclosed (court stated that husband earned about $110,000 annually)",Dual,18%,65%,42%,42%,,,,,,,
UZM v UZN,[2019] SGHCF 26,19-Dec-19,16,14,0,"Out of work since 2013 (last drawn was $13,000)",Undisclosed,Dual,14%,50%,32%,40%,Plus 8%,Adverse inference drawn against husband for his failure to make full and frank disclosure of his assets,"Case went under appeal in UZN v UZM [2020] SGCA 109: Husband had Undisclosed assets larger than originally found, at $1,826,092.20, and applying the quantification approach (instead of the uplift approach), this sum should have been added to the matrimonial pool. 

Court also said that the time at which a large sum of money was withdrawn (early in marriage vs late) would probably affect whether it was wrongful dissipation.",,,,
VEV v VEW,[2020] SGFC 6,20/1/2020,9,7,,$0 (Has not worked for 5 years),$18000,Single,0.50%,50%,50.50%,25.50%,N/A,,"Wife has a law degree and holds a Masters of Law, managed to work as a paralegal for a monthly salary of $6,000 which was more than modest",,,,
VGG v VGH,[2020] SGFC 23,14/2/2020,9,8,2,N/A,N/A,Dual,36.10%,50%,40%,40%,,,"Short marriage and parties were relatively young, in the prime of their employability and thus able to be self-sufficient and reliant. Adjustments due to the external help from the maternal grandmother, domestic helper and child care's assistance while the couple was at work",,,,
VIQ v VIR ,[2020] SGFC 49,27/2/2020,6,N/A,1,$7000,$10155,Dual,43.10%,67%,70%,N/A,N/A,,"S112 Women's Charter, applied ANJ v ANK. No wife maintenance awarded as wife had been employed before, and during the marriage, and no indication that she would lose that capacity anytime soon",,,,
VGR v VGS,[2020] SGFC 27,2/3/2020,12,10,2,$16500,N/A,Dual,19.50%,40%,29.75%,,,,"Wife had substantial income, and could not be said to be 'doubly (and severely) disadvantaged'",,,,
VII v VIJ,[2020] SGFC 48,26/5/2020,18,11,2,N/A,N/A,22.40%,50%,36.20%,"Mat Pool: 36.2% to W, 63.8% to H",,,,,,,,
VIU v VIV ,[2020] SGFC 51,2/6/2020,36,34,2,Single,$0,70%,65%,N/A,"58.1% to W, 41.9% to H",,,,,,,,
VHY v VHZ,[2020] SGFC 45,8/6/2020,16,15,2,$1800,N/A,Dual,15%,42.50%,50%,,,"Mat Pool: 50% to W, 50% to H",Court considered that W suffered some financial prejudice as she bore the lion share of the indirect financial contribution in the 15 year marriage,,,,
VJL v VGM ,[2020] SGFC 59,19/6/2020,8,6,1,N/A,N/A,N/A,5.40%,65%,85.70%,85.70%,N/A,"Mat Pool: 86% to W, 14% to H",,,,,
VJP v VJQ,[2020] SGFC 62,27/6/2020,8,4,2,$4751.33,$5000,Dual ,33%,55%,44%,46%,Plus 2%,Undisclosed ,"There was an appeal ,VJQ v VJP and another appeal [2020] SGHCF 13, decision date 29/9/2020. The parties sought to exclude certain assets from the matrimonial pool. The court's held that $140,000.00 being the purchase price of shares bought by the husband which became worthless and $176,250 being the sum of the undisbursed housing loan from the condominium apartment should be excluded from the matrimonial pool. 

There was a further appeal: VJP v VJQ [2021] SGCA 82, on the issue of what happens when an appellate court excludes certain assets that were originally included in the matrimonial pool by the lower court - should the appellate court recompute the distribution of the reduced ool of assets by adopting the same division ratio adopted by the lower court? The SGCA decided that the ratio should be recomputed since the parties' relative direct contributions have clearly changed and the division ratio should be recalibrated.",,,,
VDH v VDI,[2020] SGFC 69,16/7/2020,20.5,N/A,2,N/A,N/A,Dual ,32%,50%,41%,41%,N/A,N/A,,,,,
VKQ v VKR,[2020] SGFC 66,7/8/2020,19,13,5,$3000,$10600,Dual ,0.15%,40%,20.10%,20.10%,N/A,N/A,,,,,
VJR v VJS,[2020] SGFC 71,21/8/2020,5.7,Undisclosed ,1,$4400,$8200,Dual ,12%,50%,21.50%,27%,plus 6%,The court drew adverse inference against the husband for failing to make full and frank disclosure of his bank accounts and insurance policies,The court considered that parties here had a short marriage and as such there should be an adjustment of the weightage given to each of the direct and indirect contributions. The Court adjusted the weightage between direct contributions and indirect contributions at 75% and 25% respectively ,,,,
USC v USD,[2020] SGFC 76,15/9/2020,21 (till judicial separation was granted),N/A,2,Undisclosed,Undisclosed,Single ,Undisclosed ,Undisclosed ,45%,55%,Plus 10%,"Both parties, were not forthcoming with their asset holdings. However, the court drew adverse inference against the husband as the probability and extent of such non-disclosure was a greater possibility with the husband as he was the main breadwinner",The court was not satisfied that the non-disclosure of assets by the wife would by any stretch of the imagination cancel out the husband's abashed non-disclosure. The court was inclined to draw an adverse inference against the husband ,,,,
UUC v UUD,[2020] SGFC 81,1/10/2020,22.5,19.5,3 (2 minor),$3278.50 ($4119.5 total monthly average nett income),$4498,Dual,30.50%,35.00%,33%,33%,N/A,N/A,,,,,
VDT v VDU,[2020] SGHCF 15,6/10/2020,13,N/A,2,N/A,$10089.47pm,Single,32%,60%,54%,48%,Minus 6%,Court was taking into account the UK Pension - monies that have accrued but are not yet payable to the Husband. Pensions would amount to matrimonial assets as the Husband's entitlement to the UK pension is in itself a chose in action.,,,,,
VIG v VIH,[2020] SGHCF 16 [2021] 3 SLR 1145,13/10/2020,12,N/A,2,N/A,Undisclosed,Single,"(1% to 4%, rough figures speculated)",N/A,N/A,30%,N/A,N/A,"Difficulties in classifying as single-income vs dual-income: Court stated it was a single-income marriage even though the Wife had worked for slightly under half the marriage. This wa s because the Wife was a homemaker in the time when the Husband worked for a certain company which saw a massive increase in the family's wealth, and this would dwarf any contributions made by the Wife at the time. 

The Court also deals with 'COVID-19 losses' to the value of certain assets",,,,
TOF v TOE,[2021] SGCA 80,10/8/2021,19,N/A,1,N/A,$41000 at first; then set up his own business,Single,N/A,N/A,N/A,$4mil,N/A,N/A,N/A,,,,
VMS v VMT,[2020] SGFC 93,4/11/2020,19,18,3,N/A,$6000,Single,N/A,N/A,N/A,50%,N/A,N/A,Marriage was not very long but Wife would be caring for three children.,,,,
VMG v VMH,[2021] SGFC 104,8/12/2020,4,N/A,1,$820 during marriage; unemployed during proceedings,$3620,Dual,N/A,N/A,N/A,Parties to retain assets in sole name,N/A,N/A,"Very short marriage and most of the assets were accumulated before the marriage.

On appeal in VMG v VMH [2021] SGHCF 31, HC did not change division order as certain disputed jewelleries by husband were not matrimonial assets.",,,,
VNY v VNZ,[2020] SGFC 112,23/12/2020,6y 4m,N/A,2,Over $6000,"$6500;  recently reduced to $5,850",Dual,N/A,N/A,N/A,Parties to retain assets in sole name,N/A,N/A,N/A,,,,
VNU v VNV,[2020] SGFC 111,24/12/2020,16,12,2,$2708,"Curious fluctuations: usually about $9000 per month, but dipped in last year (employed by his adult son)",Dual,7.20%,60%,33.60%,35%,N/A,N/A,Marriage of moderate length,,,,
VMO v VMP,[2020] SGHCF 23,31/12/2020,16,10,1,See [133]: Wife worked for first 7 years and not after.,,"Dual (not explicit, applied ANJ)",15.94%,60%,37.97%,38%,N/A,Just rounding to nearest integer,NA,,,,
VOP v VOQ,[2021] SGFC 3,19/1/2021,20,16,6,"During marriage: $2,791.40. Current claimed income at time of AM: $200 to $300",$2750,Dual,64.66%,70%,67.33%,67.33%,N/A,N/A,Parties tried to submit that heavier weight should be attributed to indirect contributions - court rejected. ,,,,
VGN v VGO and anor appeal,[2021] SGHCF 3,22/1/2021,11,N/A,2,On fixed term contracts,$7750,Dual,26.23%,50%,38.11%,42%,Increase of ~ 3%,DJ had taken into account the inconsistencies in the Husband's evidence,"Husband attempted to argue that ANJ v ANK should not apply to a particular asset (matrimonial flat) because of means of acquisition by one party alone, by tapping on UQP v UQQ: Court rejected this because the flat was purchased after the marriage.",,,,
VOZ v VPA,[2021] SGFC 12,11/2/2021,14,N/A,3,N/A,N/A,Dual,44.05%,50%,47.03%,47.03%,N/A,N/A,"Parties tried to weight the ratio based on their care shown to their youngest child - court rejected this, considering the parity of care.",,,,
VPV v VPW,[2021] SGFC 23,8/3/2021,14,11,1,$5491,$3800,Dual,36%,90%,63%,70%,Uplift of 7% to wife,Taking into account the Husband's rent-free occupation of the property,Court took note that giving the wife 70% in the end would give her sufficient value in the division to take over the Husband's share in the flat because she had to raise the child,,,,
UGR v UGQ,[2021] SGFC 21,9/3/2021,4.5,2,1,"During marriage: $0. During AM: $4,160.",Husband's earning capacity was six times more than the Wife's,Single (but applying ANJ v ANK),84.14%,50%,50%,84.14%,N/A,N/A,"The court seemed to accept that it was a single-income marriage but applied ANJ v ANK, seemingly because (i) the assets reflected in Wife's name arose from her employment after leaving the matrimonial home, and (ii) ANJ v ANK should apply to short, childless marriages (even though this marriage bore a child).",,,,
VOE v VOF,[2021] SGFC 28,12/3/2021,25,22,4,$7840 (take home of $6640),$1180,Dual,50%,60%,55%,60%,Yes,Adjustments made for adverse inferences drawn against both parties,Adverse inference drawn against both parties for failing to make full and frank disclosure of assets. ,,,,
VQL v VQM,[2021] SGFC 36,7/4/2021,25,N/A,1,$0,N/A,Single,N/A,N/A,N/A,50%,N/A,N/A,"Parties agreed that in light of the long single-income marriage, the matrimonial assets should be divided equally.",,,,
CHT v CHU,[2021] SGCA 38,14/4/2021,16,N/A,0,N/A,N/A,Dual,18%,60%,39%,N/A,N/A,N/A,Judge applied classification method in defining 2 separate classes of assets: immovable properties and all other properties,,,,
VQN v VQO,[2021] SGFC 39,16/4/2021,11,N/A,2,$14409.22,"""no great disparity between their respectively monthly incomes""",Dual,18.96% (flat),65% (flat),41.98% (flat),46.98% (flat),5% in favour of wife,To give effect to the Husband's sale and disposal of one of the matrimonial assets,,,,,
USZ v UTA,[2021] SGFC 40,19/4/2021,20,N/A,1,$7295,$7069,Dual,40.6% (flat),70%,55%,55%,N/A,N/A,N/A,,,,
VQP v VQQ,[2021] SGFC 38,21/4/2021,15.5,10.5,2,$3300,"2015-2018: Income of $170,000 total ",Dual,32%,60%,55%,55%,N/A,N/A,Judge added back to the pool certain sums that were unaccounted for/spent by the parties,,,,
VRB v VRC,[2021] SGFC 45,26/4/2021,28,26,3,$0,"(Undisclosed - Wife's case was that husband earned $48,292.04 per month with passive income of $4,560.92)",Single,N/A,N/A,N/A,50%,N/A,N/A,"Long single-income marriage of 28 years, warranting equal share of matrimonial assets (in accordance with TNL v TNK)",,,,
VQX v VQY,[2021] SGFC 44,27/4/2021,16,N/A,1,$2160,Undisclosed,Dual,28.80%,60%,44.40%,44.40%,N/A,N/A,Court recognised that giving the Wife 44.4% would ensure that she could take over the matrimonial flat to provide for the child,,,,
VRF v VRG,[2021] SGFC 48,10/5/2021,5,N/A,1,Worked 3 jobs,Undisclosed,Dual,55.80%,55%,50%,50%,N/A,N/A,"Short marriage, and the amount of assets were ""not substantial"" at around $300,000",,,,
VRT v VRU,[2021] SGFC 60,31/5/2021,17,12,3,$500,$3000,Dual,Different % for different properties,53%,N/A,N/A,N/A,Uplift for one of the properties: see [21],"Classification approach used: different divisions for different types of property. In particular, an uplift was given to the Wife for one of the properties, as that is where the Wife would live with the children after the divorce",,,,
VSD v VSE,[2021] SGFC 64,11/6/2021,13,9,2,N/A,N/A,N/A,60% (flat),N/A,N/A,N/A,N/A,N/A,Parties had signed both a Settlement Agreement and a Deed of Separation. The court explores how those documents interact and the extent to which the documents are taken into consideration in the eventual split of assets,,,,
VSN v VSO,[2021] SGFC 70,18/6/2021,12,N/A,1,$7054.60,$30692.25,Dual,17.02%,60%,38.51%,50%,10% to wife,Taking into account adverse inference drawn against Husband,N/A,,,,
CLB v CLC,"[2021] SGHCF 17
[2021] SGHC(A) 19",24/6/2021,16,N/A,2,$25238,$22799,Dual,62%,55%,58%,N/A,N/A,N/A,"On appeal, adjustments were made to the value of the matrimonial pool",,,,
VLO v VLP,[2021] SGFC 68,29/6/2021,3y 8m,NA,1,$800,Slightly over $16000,Dual,0.01%,50%,N/A,10%,Weighted ratio,"Direct to indirect ratio was weighted 80-20, in light of the very short marriage which would have ended even earlier if not for the 3-year period. There was only one child, and the father was able to amass matri assets of 1.3mil by very much his own efforts.",Appeal in VLO v VLP and anor appeal [2021] SGHCF 34: Appeal dismissed,,,,
